"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010005586","서울실용음악고등학교","10","사립","","N","단설","주간","20090301","20090301","1114016200","서울특별시 중구 신당동","67-24.","","04578","서울특별시 중구 퇴계로88가길 8","(신당동,서울실용음악고등학교)","37.563335","127.020618","02-2231-5210","02-2231-2543","http://www.seoulmusic.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 중구","S010005730","여명학교","10","사립","","N","단설","주간","20100405","20100322","1114012900","서울특별시 중구 남산동2가","49-25.","100042","04630","서울특별시 중구 소파로 99",", 여명학교 (남산동2가)","37.5569016695613","126.985536163678","02-888-1673","02-888-1676","http://ymschool.org","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010005841","서울다솜관광고등학교","10","공립","","N","단설","주간","20120301","20120301","1111017500","서울특별시 종로구 숭인동","1-1.","110550","03114","서울특별시 종로구 종로58길 30","(숭인동)","37.571838","127.018162","070-8685-7798","02-2556-2261","http://sds.sen.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 서초구","S010006026","서초문화예술정보학교","10","공립","","N","단설","주간","20140415","20140101","1165010800","서울특별시 서초구 서초동",".","137072","06728","서울특별시 서초구 남부순환로347길 69","(서초동)","37.4878748716058","127.02944377672","02-3488-5200","02-3486-6276","http://seocho.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 은평구","S010006027","은평문화예술정보학교","10","공립","","N","단설","주간","20140301","20140301","1138010700","서울특별시 은평구 응암동","334-12, 은평문화예술정보학교.","122010","03470","서울특별시 은평구 가좌로 208",", 은평문화예술정보학교 (응암동)","37.5891738498822","126.919320824126","02-3152-5700","02-3152-5740","http://ep.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010006333","오디세이학교","10","공립","일반고등학교","N","단설","주간","20150526","20150526","1111017500","서울특별시 종로구 숭인동",".","","03114","서울특별시 종로구 종로58길 30","(숭인동)","37.572118","127.018170","02-2256-4120","02-2256-6741","http://odyssey.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 금천구","S010006380","금천문화예술정보학교","10","공립","일반고등학교","N","단설","주간","20170504","20170301","1154510200","서울특별시 금천구 독산동",".","153820","08548","서울특별시 금천구 남부순환로126길 25",", 금천문화예술정보학교 (독산동)","37.5","126.9","02-2039-9910","02-2039-9872","http://geumcheon.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 성북구","S010002501","경동고등학교부설방송통신고등학교","11","공립","일반고등학교","N","병설","주간","20020101","19741231","1129011300","서울특별시 성북구 삼선동3가","50번지.","136043","02870","서울특별시 성북구 보문로29길 49","(삼선동3가, 경동고등학교)","37.5866018708909","127.016032024187","02-928-2077","02-926-7525","http://kyungdong.cyber.hs.kr","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 종로구","S010002502","경복고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19740323","19740323","1111010100","서울특별시 종로구 청운동","89-9번지.","110030","03047","서울특별시 종로구 자하문로28가길 9","(청운동)","37.5859472024404","126.971509440639","02-397-5470","02-736-0422","http://www.cyber.hs.kr/user/index.do","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010002503","수도여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","20020101","19740223","1159010900","서울특별시 동작구 신대방동","470-13번지.","156850","07062","서울특별시 동작구 여의대방로10길 73","(신대방동, 수도여자고등학교)","37.493135","126.915822","02-2102-3580","02-2102-3547","http://sudo.uriban.com","녀"
"서울특별시교육청","서울특별시교육청","서울특별시 동작구","S010002504","영등포고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","20020101","19790110","1159010800","서울특별시 동작구 대방동","13-2.","156807","06933","서울특별시 동작구 등용로8길 5",", 대방동 13-2 (대방동, 영등포고등학교부설방송통신고등학교)","37.508917","126.934127","070-4675-3200","02-812-1315","http://www.cyber.hs.kr/achs/ydp/","남녀공학"
"서울특별시교육청","서울특별시교육청","서울특별시 강남구","S010002525","경기여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","20020101","19740301","1168010300","서울특별시 강남구 개포동","152번지.","135800","06324","서울특별시 강남구 삼성로 29","(개포동,경기여자고등학교)","37.5651","126.98955","02-573-6796","02-575-1157","http://www.kgg.hs.kr","녀"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010005864","지구촌학교","19","사립","","N","단설","주간","20111115","20110302","1153010800","서울특별시 구로구 오류동","223-5.","152102","08358","서울특별시 구로구 오리로 1189","(오류동)","37.4888591930499","126.835176065272","02-6910-1004","02-6910-1093","https://globalsarang.sen.sc.kr","남녀공학"
"서울특별시교육청","서울특별시서부교육지원청","서울특별시 마포구","S010006282","아현중학교부설방송통신중학교","25","공립","","N","부설","주간","20150314","20150301","1144010100","서울특별시 마포구 아현동",".","121859","04117","서울특별시 마포구 마포대로 247",", 아현중학교 내 아현방송통신중학교 (아현동)","37.556216","126.957062","02-363-1830","365-7921","http://ahyeon.ms.kr","남녀공학"
"부산광역시교육청","부산광역시교육청","부산광역시 동구","S020000436","부산국제영화고등학교","08","사립","특성화고등학교","N","단설","주간","19560502","19560502","2617010100","부산광역시 동구 초량동","부산국제영화고등학교.","601013","48792","부산광역시 동구 고관로 68","(초량동,부산국제영화고등학교)","35.1249836322713","129.044286051941","051-468-7940","051-462-1917","http://bifh.hs.kr","남녀공학"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 강서구","S020002292","송정중학교","09","공립","","N","단설","주간","20190301","20190301","2644010900","부산광역시 강서구 송정동",".","","46731","부산광역시 강서구 가락대로 230-72","(송정동, 송정중학교)","35.106762","128.842515","051-979-6700","979-6767","http://busansongjeong.ms.kr","남녀공학"
"부산광역시교육청","부산광역시교육청","부산광역시 사상구","S020000451","부산산업학교","10","공립","특성화고등학교","N","단설","주간","19910510","19910301","2653010300","부산광역시 사상구 덕포동","775-1.","617810","46941","부산광역시 사상구 백양대로768번길 64","(덕포동, 부산산업학교)","35.1739993784663","128.990443123597","051-309-8114","051-309-8110","http://www.sanup.hs.kr","남녀공학"
"부산광역시교육청","부산광역시교육청","부산광역시 동구","S020000347","경남여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19740323","19740323","2617010200","부산광역시 동구 수정동","558번호.","601816","48777","부산광역시 동구 수정중로 29",", 경남여자고등학교 (수정동, 경남여자고등학교)","35.132291","129.043852","051-600-0803","051-467-2959","","녀"
"부산광역시교육청","부산광역시교육청","부산광역시 동래구","S020000395","동래고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19820301","19820301","2626010300","부산광역시 동래구 칠산동","360번지.","607030","47812","부산광역시 동래구 충렬대로285번길 22","(칠산동,동래고등학교)","35.2012829053288","129.091785544735","051-550-7790","051-558-0663","","남녀공학"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020002245","화명중학교부설방송통신중학교","25","공립","","N","부설","주간","20160306","20160301","2632010200","부산광역시 북구 화명동",".","","46538","부산광역시 북구 금곡대로186번길 13","(화명동)","35.226324","129.011386","051-366-3536","031-366-3534","http://www.hwamyong.ms.kr","남녀공학"
"대구광역시교육청","대구광역시교육청","대구광역시 달서구","S030001639","경북기계공업고등학교부설대구문화예술산업학교","10","공립","특성화고등학교","N","부설","주간","19910308","19900918","2729011500","대구광역시 달서구 상인동","1번지.","704370","42748","대구광역시 달서구 월배로 275","(상인동,경북기계공업고등학교)","35.822436","128.541023","053-231-3832","053-231-3859","http://www.dgsanup.hs.kr","남녀공학"
"대구광역시교육청","대구광역시교육청","대구광역시 달서구","S030002092","대구예담학교","10","공립","일반고등학교","N","단설","주간","20170609","20170301","2729011400","대구광역시 달서구 본리동",".","","42683","대구광역시 달서구 구마로21길 36",", 예담학교 (본리동)","35.839555","128.539873","053-231-9820","053-526-8603","http://www.dgyedam.sc.kr","남녀공학"
"대구광역시교육청","대구광역시교육청","대구광역시 남구","S030000285","대구고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19741231","19741231","2720010300","대구광역시 남구 대명동","187.","705802","42416","대구광역시 남구 중앙대로 171","(대명동, 대구고등학교)","35.8491081526933","128.588734796661","053-231-4158","053-656-7949","http://www.cyber.hs.kr","남녀공학"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030002006","경상중학교부설방송통신중학교","25","공립","","N","부설","주간","20130301","20130301","2720010300","대구광역시 남구 대명동","1819-11.","705030","42412","대구광역시 남구 현충로48길 33","(대명동, 경상중학교)","35.8491081526933","128.588734796661","053-0000-0000","053-0000-0000","www.cyber.ms.kr","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 남구","S040001382","한진고등기술학교","08","사립","","N","단설","주간","19650123","19650123","2817010500","인천광역시 남구 도화동","66-36.","402060","22113","인천광역시 남구 장고개로 69","(도화동)","37.4741941242257","126.668571928532","032-864-6340","032-867-8778","","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 동구","S040000307","인천산업정보학교","10","공립","","N","단설","주간","19940301","19940301","2814010600","인천광역시 동구 금곡동","45-1번지.","401060","22564","인천광역시 동구 금창로 31","(금곡동)","37.471847","126.640863","032-765-5471","032-765-5473","http://sanup.icesc.kr","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 남동구","S040002166","인천한누리학교","10","공립","","N","단설","주간","20130301","20130301","2820011000","인천광역시 남동구 논현동","640-2.","405825","21655","인천광역시 남동구 논현고잔로 215","(논현동)","37.401356902456","126.715862795181","032-627-2250","032-442-2107","http://hannuri.icesc.kr","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 남동구","S040002179","인천해밀학교","10","공립","","N","단설","주간","20120301","20120301","2820010100","인천광역시 남동구 구월동","1089.","405220","21553","인천광역시 남동구 문화로169번길 73","(구월동)","37.4550266139035","126.696260877952","032-432-7155","032-432-7159","http://haemil.icesc.kr/","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 연수구","S040002181","인천청담고등학교","10","사립","","N","단설","주간","20110506","20110506","2818510500","인천광역시 연수구 동춘동","산 29-6번지 .","406130","21980","인천광역시 연수구 앵고개로 132","(동춘동)","37.412419","126.6605595","032-833-2014","032-831-2014","http://cheongdam.icehs.kr","남녀공학"
"인천광역시교육청","인천광역시교육청","인천광역시 연수구","S040000270","인천여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부속","주간","19760119","19760119","2818510300","인천광역시 연수구 연수동","534-3.","406113","21936","인천광역시 연수구 비류대로506번길 14","(연수동)","37.422429509107","126.689903459266","032-810-6300","032-810-6399","http://incheon-gh.icehs.kr","녀"
"인천광역시교육청","인천광역시교육청","인천광역시 중구","S040000290","제물포고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19750316","19750316","2811013700","인천광역시 중구 전동","26번지.","400190","22310","인천광역시 중구 자유공원로 58-9","(전동)","37.476832","126.623838","032-770-4741","032-770-4743","http://www.cyber.hs.kr","남녀공학"
"인천광역시교육청","인천광역시동부교육지원청","인천광역시 남동구","S040002270","구월여자중학교부설방송통신중학교","25","공립","","N","부설","주간","20160305","20160305","2820010100","인천광역시 남동구 구월동",".","","21570","인천광역시 남동구 성말로13번길 78","(구월동, 구월여자중학교부설방송통신중학교)","37.449208","126.703260","032-433-4005","032-435-0465","http://gwg.icems.kr/main.do","남녀공학"
"광주광역시교육청","광주광역시교육청","광주광역시 북구","S050000644","금호미용예술학교","08","사립","","N","단설","주야간","19570520","19570226","2917010900","광주광역시 북구 운암동","산 157번지.","500170","61269","광주광역시 북구 동운로 167-5",", 금호미용예술학교 (운암동)","351741377","1268595246","062-523-8237","062-523-9128","http://www.kumho-art.com","남녀공학"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050001099","호남삼육중학교","09","사립","","N","단설","주간","19530420","19530420","2915510600","광주광역시 남구 주월동","468-2.","503311","61731","광주광역시 남구 회서로 30",", 호남삼육중학교 (주월동)","35.129674","126.893575","062-720-3636","062-720-3697","http://samyook.gen.ms.kr","남녀공학"
"광주광역시교육청","광주광역시교육청","광주광역시 동구","S050000095","광주고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19510928","19510928","2911010900","광주광역시 동구 계림동","239-1.","501800","61412","광주광역시 동구 중앙로 302",", (계림동, 광주고등학교) (계림동)","35.1593038","126.9218437","062-239-8809","062-239-0100","","남"
"광주광역시교육청","광주광역시교육청","광주광역시 동구","S050000162","전남여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19741231","19741231","2911010700","광주광역시 동구 장동","39~12.","501060","61431","광주광역시 동구 제봉로158번길 8",", (장동, 전남여자고등학교) (장동)","35.1516605","126.9202672","062-220-0307","062-226-9045","","녀"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050001434","월광기독학교","19","사립","","N","단설","주간","20140301","20140301","2914011900","광주광역시 서구 화정동",".","","62025","광주광역시 서구 염화로 23-20",", 월광기독학교 (화정동)","35.1359295","126.871844","062-714-3000","062-714-3100","http://","남녀공학"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050001412","광주북성중학교부설방송통신중학교","25","공립","","N","부설","주간","20130301","20130301","2917010200","광주광역시 북구 유동","81-1.","500020","61246","광주광역시 북구 금남로 61",", (유동, 광주북성중학교) (유동)","35.159199","126.902688","062-607-7000","062-511-4612","http://buksung.gen.ms.kr","남녀공학"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 서구","S060001323","새소리음악중학교","09","사립","","N","단설","주간","20170301","20170301","3017010300","대전광역시 서구 도마동",".","","35328","대전광역시 서구 변동중로 24-2","(도마동)","36.3272","127.3727915","042-533-6470","042-537-4200","http://sesorymusic.ms.kr","남녀공학"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000154","대전산업정보고등학교","10","공립","","N","단설","주간","19910301","19910301","3017010500","대전광역시 서구 용문동","284-1.","302845","35306","대전광역시 서구 괴정로 191","(용문동)","36.3330569","127.392542","042-250-0099","042-537-8683","dpsc.djsch.kr","남녀공학"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060001253","새소리음악고등학교","10","사립","","N","단설","주간","20120302","20120302","3017010300","대전광역시 서구 도마동","16-16.","302819","35328","대전광역시 서구 변동중로 24-2","(도마동)","36.3272","127.3727915","042-533-6478","042-537-4200","http://sesory.djsch.kr","남녀공학"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000175","대전고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부속","주간","19750406","19750406","3014010500","대전광역시 중구 대흥동","320-2.","301805","34932","대전광역시 중구 대흥로 110","(대흥동,대전고등학교)","36.322367","127.424413","042-220-6264","042-220-6130","http://www.cyber.hs.kr/","남"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000195","대전여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19741231","19741231","3011011000","대전광역시 동구 대동","16-2.","300072","34656","대전광역시 동구 용운로1번길 28-37","(대동, 대전여자고등학교)","36.329917","127.4468","042-630-5901","042-633-8846","http://www.cyber.hs.kr/achs/daejeon-g","녀"
"대전광역시교육청","대전광역시서부교육지원청","대전광역시 유성구","S060001293","대전봉명중학교부설방송통신중학교","25","공립","","N","부설","주간","20140309","20140301","3020011100","대전광역시 유성구 봉명동","274-10.","305301","34189","대전광역시 유성구 계룡로132번길 71","(봉명동, 대전봉명중학교)","36.3498495","127.344869","0428266872","0428266878","cyber.ms.kr","남녀공학"
"울산광역시교육청","울산광역시강남교육지원청","울산광역시 울주군","S070000760","울산고운중학교","09","공립","","N","단설","주간","20210301","20210301","3171037021","울산광역시 울주군 두서면 차리",".","","44913","울산광역시 울주군 두서면 구량차리로 16",", 울산고운중학교","35.617933","129.146937","2632190","2632193","","남녀공학"
"울산광역시교육청","울산광역시교육청","울산광역시 남구","S070000118","학성고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19830724","19830724","3114010400","울산광역시 남구 신정동","1674번지.","680832","44666","울산광역시 남구 문수로 436","(신정동, 학성고등학교)","35.531633","129.300475","052-257-2077","052-257-2079","http://www.cyber.hs.kr","남녀공학"
"울산광역시교육청","울산광역시교육청","울산광역시 남구","S070000743","학성고등학교부설방송통신중학교","25","공립","","N","부설","주간","20160313","20160301","3114010200","울산광역시 남구 옥동",".","","44666","울산광역시 남구 문수로 436",", 학성고등학교부설방송통신중학교 (신정동)","35.531319","129.300351","257-2074","052-257-2058","http://www.cyber.ms.kr","남녀공학"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090004463","동성고등공민학교","07","사립","","N","단설","주간","19670302","19670302","4145012400","경기도 하남시 광암동","산63번지.","465230","12994","경기도 하남시 광암로148번길 67","(광암동)","37.5123796","127.1723488","02-485-0103","02-485-0737","www.idongsung.org","남녀공학"
"경기도교육청","경기도구리남양주교육지원청","경기도 구리시","S090004471","서울삼육중학교","09","사립","","N","단설","주간","19470901","19470901","4131010400","경기도 구리시 교문동","산 90번지.","471020","11952","경기도 구리시 아차산로487번길 70",", 서울삼육중학교 (교문동)","37.595747","127.124861","070-8640-8401","031-569-7672","http://sahmyook.ms.kr","남녀공학"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090005829","티엘비유글로벌학교(중)","09","사립","","N","단설","주간","20080319","20080205","4128111900","경기도 고양시 덕양구 내유동","300-9.","412520","10264","경기도 고양시 덕양구 내유길 231",", 티엘비유글로벌학교","37.725996","126.867106","031-960-1170","031-960-1150","http://tlbugs.ac.kr","남녀공학"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090006508","계원예술중학교","09","사립","","N","단설","주간","20100301","20100301","4113510300","경기도 성남시 분당구 정자동","207번지.","463010","13606","경기도 성남시 분당구 불정로 100",", 계원예술학교 (정자동, 계원예술고등학교)","37.3586403","127.1158508","031-786-5920","031-710-8696","http://www.kaywon.ms.kr","남녀공학"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090006641","쉐마기독학교(중)","09","사립","","N","단설","주간","20110407","20110407","4163031021","경기도 양주시 은현면 용암리","861번지.","11429","11429","경기도 양주시 은현면 화합로1080번길 184-16","(은현면)","37.8496882","127.0263223","031-858-3144","031-858-3143","http://ishema.org","남녀공학"
"경기도교육청","경기도교육청","경기도 이천시","S090006848","경기새울학교","09","공립","","N","단설","주간","20130601","20130301","4150038028","경기도 이천시 율면 오성리","550-5.","467891","17423","경기도 이천시 율면 금율로862번길 231-20",", 경기새울학교 (율면)","37.0721903","127.5499488","0316399910","031-943-9552","http://www.saeul.ms.kr","남녀공학"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090007013","광성드림학교","09","사립","","N","단설","주간","20140306","20140228","4128710500","경기도 고양시 일산서구 덕이동","329-5 .","411808","10231","경기도 고양시 일산서구 하이파크로 161",", 광성드림학교","37.703901","126.757594","031-929-9545","031-929-9508","http://ksdream.or.kr/","남녀공학"
"경기도교육청","경기도성남교육지원청","경기도 성남시 수정구","S090007151","하늘꿈중고등학교(중)","09","사립","","N","단설","주간","20030310","20151113","4113110700","경기도 성남시 수정구 복정동",".","461200","13113","경기도 성남시 수정구 성남대로1518번길 11","(복정동)","37.465699","127.127739","031-758-2071","031-758-2079","http://www.hdschool.org","남녀공학"
"경기도교육청","경기도용인교육지원청","경기도 용인시 수지구","S090007393","중앙예닮학교(중)","09","사립","","N","단설","주간","20180312","20171123","4146510700","경기도 용인시 수지구 상현동",".","","16863","경기도 용인시 수지구 포은대로 91-19","(상현동, 중앙예닮학교)","37.303091","127.071168","031-217-1401","031-217-1402","http://ya.or.kr","남녀공학"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090007585","노비따스음악중고등학교(중)","09","사립","","N","단설","주간","20200301","20200301","4182031027","경기도 가평군 설악면 위곡리",".","","12463","경기도 가평군 설악면 한서로210번길 325","(설악면)","37.649268","127.516449","070-8953-1009","070-8953-8953","http://www.novitas.kr","녀"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090007647","군서미래국제학교","09","공립","","N","단설","주간","20210301","20210301","4139013200","경기도 시흥시 정왕동",".","","15056","경기도 시흥시 봉우재로37번길 5","(정왕동, 군서중학교)","37.346064","126.743651","070-7097-1715","0315005298","http://gfis.sc.kr/","남녀공학"
"경기도교육청","경기도교육청","경기도 연천군","S090006636","화요일아침예술학교","10","사립","일반고등학교","N","단설","주간","20110302","20110201","4180025326","경기도 연천군 전곡읍 양원리","764.","11040","11040","경기도 연천군 전곡읍 양원로268번길 106-125","(전곡읍)","37.9665452","1270211632","070-8891-3830","031-833-0090","www.flowerdaymorning.com","녀"
"경기도교육청","경기도교육청","경기도 양주시","S090006642","쉐마기독학교(고)","10","사립","일반고등학교","N","단설","주간","20110301","20110301","4163031021","경기도 양주시 은현면 용암리","861.","11429","11429","경기도 양주시 은현면 화합로1080번길 184-16","(은현면)","37.84952","127.026507","031-858-3144","031-858-3143","http://ishema.org","남녀공학"
"경기도교육청","경기도교육청","경기도 성남시 수정구","S090007150","하늘꿈중고등학교","10","사립","일반고등학교","N","단설","주간","20030310","20151113","4113110700","경기도 성남시 수정구 복정동",".","","13113","경기도 성남시 수정구 성남대로1518번길 11","(복정동)","37.465699","127.127739","031-758-2071","031-758-2079","http://www.hdschool.org","남녀공학"
"경기도교육청","경기도교육청","경기도 용인시 수지구","S090007392","중앙예닮학교","10","사립","일반고등학교","N","단설","주간","20180312","20171123","4146510700","경기도 용인시 수지구 상현동",".","","16863","경기도 용인시 수지구 포은대로 91-19","(상현동, 중앙예닮학교)","37.302218","127.070480","031-217-1401","031-217-1402","http://ya.or.kr","남녀공학"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090007587","광성드림학교(고)","10","사립","","N","단설","주간","20140306","20140228","4128710500","경기도 고양시 일산서구 덕이동",".","","10231","경기도 고양시 일산서구 하이파크로 161","(덕이동, 거룩한빛 광성교회 교육관)","37.703901","126.757594","031-929-9500","031-929-9508","http://ksdream.or.kr","남녀공학"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000642","수성고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19750406","19741231","4111113000","경기도 수원시 장안구 정자동","49.","440832","16313","경기도 수원시 장안구 장안로90번길 39","(정자동, 수성고등학교)","37.2936437","127.0026279","031-259-1320","031-252-8768","http://www.cyber.hs.kr","남녀공학"
"경기도교육청","경기도교육청","경기도 수원시 팔달구","S090000650","수원여자고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","19750106","19750106","4111513700","경기도 수원시 팔달구 고등동","19-1.","442880","16448","경기도 수원시 팔달구 고등로59번길 72","(고등동, 수원여자고등학교)","37.276222","127.003517","031-245-1503","031-241-5984","http://suwon-g.hs.kr/","녀"
"경기도교육청","경기도교육청","경기도 의정부시","S090005822","호원고등학교부설방송통신고등학교","11","공립","일반고등학교","N","부설","주간","20080301","20080301","4115010200","경기도 의정부시 호원동","226-154.","480854","11646","경기도 의정부시 망월로 56","(호원동, 호원고등학교)","37.704858","127.044584","031-822-2124","031-822-2020","http://","남녀공학"
