"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
233,덕천역(2호선),S2602,부산도시철도 2호선,Deokcheon,德川,환승역,S2602+S2603,부산도시철도 2호선+부산도시철도 3호선,35.210219,129.005673,부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6233,2020-06-05
234,수정역,S2602,부산도시철도 2호선,Sujeong,水亭,일반역,,,35.223356,129.009198,부산교통공사,부산광역시 북구 금곡대로 지하 160,051-678-6234,2020-06-05
235,화명역,S2602,부산도시철도 2호선,Hwamyeong,華明,일반역,,,35.236278,129.013918,부산교통공사,부산광역시 북구 금곡대로 지하 311,051-678-6235,2020-06-05
236,율리역,S2602,부산도시철도 2호선,Yulli,栗里,일반역,,,35.246714,129.012918,부산교통공사,부산광역시 북구 금곡대로 지하 440,051-678-6236,2020-06-05
237,동원역,S2602,부산도시철도 2호선,Dongwon,東院,일반역,,,35.258656,129.012392,부산교통공사,부산광역시 북구 금곡대로 575,051-678-6237,2020-06-05
238,금곡역,S2602,부산도시철도 2호선,Geumgok,金谷,일반역,,,35.267248,129.0169054,부산교통공사,부산광역시 북구 금곡대로 685,051-678-6238,2020-06-05
239,호포역,S4802,부산도시철도 2호선,Hopo,湖浦,일반역,,,35.280406,129.017097,부산교통공사,경상남도 양산시 동면 양산대로 62,051-678-6239,2020-06-05
240,증산역,S4802,부산도시철도 2호선,Jeungsan,甑山,일반역,,,35.308302,129.010246,부산교통공사,경상남도 양산시 물금읍 메기로 168,051-678-6240,2020-06-05
241,부산대양산캠퍼스역,S4802,부산도시철도 2호선,Pusan Nat''''''''''''''''l Univ. Yangsan Campus,釜山大梁山Campus,일반역,,,35.316955,129.0139408,부산교통공사,경상남도 양산시 물금읍 메기로 270,051-678-6241,2020-06-05
242,남양산역,S4802,부산도시철도 2호선,Namyangsan,南梁山,일반역,,,35.325359,129.019457,부산교통공사,경상남도 양산시 동면 메기로 380,051-678-6242,2020-06-05
243,양산역,S4802,부산도시철도 2호선,Yangsan,梁山,일반역,,,35.33872773,129.026391,부산교통공사,경상남도 양산시 강변로 441,051-678-6243,2020-06-05
